[2019-08-16 11:16:17,679]   INFO - tbrains.buildServer.ACTIVITIES - Server Started
[2019-08-16 11:17:07,830]   INFO - tbrains.buildServer.ACTIVITIES - New user created: 'anton' {id=1}
[2019-08-16 11:19:30,690]   INFO - s.buildServer.ACTIVITIES.AUDIT - project_edit_settings: "<Root project> {id=_Root, internal id=_Root}" project settings were edited ("version before: 1, version after: 2") by "'anton' (Anton Nichaienko) {id=1}" with comment "Connection added"
[2019-08-16 11:20:47,909]   INFO - s.buildServer.ACTIVITIES.AUDIT - project_edit_settings: "<Root project> {id=_Root, internal id=_Root}" project settings were edited ("version before: 2, version after: 3") by "'anton' (Anton Nichaienko) {id=1}" with comment "Connection updated"
[2019-08-16 11:21:41,797]   INFO - s.buildServer.ACTIVITIES.AUDIT - project_edit_settings: "<Root project> {id=_Root, internal id=_Root}" project settings were edited ("version before: 3, version after: 4") by "'anton' (Anton Nichaienko) {id=1}" with comment "Connection updated"
[2019-08-16 11:24:52,759]   INFO - s.buildServer.ACTIVITIES.AUDIT - project_create: Project "GitDevOps03 {id=GitDevOps03, internal id=project1}" was created by "'anton' (Anton Nichaienko) {id=1}"
[2019-08-16 11:24:52,792]   INFO - s.buildServer.ACTIVITIES.AUDIT - vcs_root_create: VCS root ""https://github.com/silent-ua/GitDevOps03.git#refs/heads/master" {internal id=1, id=GitDevOps03_HttpsGithubComSilentUaGitDevOps03gitRefsHeadsMaster, description: "https://github.com/silent-ua/GitDevOps03.git#refs/heads/master"}" was created by "'anton' (Anton Nichaienko) {id=1}" with comment "In project: GitDevOps03"
[2019-08-16 11:24:53,000]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_type_create: "GitDevOps03 / TC-Build {id=GitDevOps03_TcBuild, internal id=bt1}" was created by "'anton' (Anton Nichaienko) {id=1}"
[2019-08-16 11:27:12,475]   INFO - s.buildServer.ACTIVITIES.AUDIT - project_edit_settings: "GitDevOps03 {id=GitDevOps03, internal id=project1}" project settings were edited ("version before: 1, version after: 2") by "'anton' (Anton Nichaienko) {id=1}" with comment "New GitHub issue tracker with name silent-ua/GitDevOps03 was created"
[2019-08-16 11:27:43,592]   INFO - s.buildServer.ACTIVITIES.AUDIT - agent_authorize: Agent ""agent_first" {id=1}" was authorized by "'anton' (Anton Nichaienko) {id=1}" with comment "agent_1"
[2019-08-16 11:45:07,897]   INFO - s.buildServer.ACTIVITIES.AUDIT - project_create: Project "GitDevOps03 / NICHAIENKO {id=GitDevOps03_Nichaienko, internal id=project2}" was created by "'anton' (Anton Nichaienko) {id=1}"
[2019-08-16 11:46:57,555]   INFO - s.buildServer.ACTIVITIES.AUDIT - vcs_root_create: VCS root ""https://github.com/silent-ua/GitDevOps03.git" {internal id=2, id=GitDevOps03_Nichaienko_HttpsGithubComSilentUaGitDevOps03git, description: "null#master"}" was created by "'anton' (Anton Nichaienko) {id=1}" with comment "In project: GitDevOps03 / NICHAIENKO"
[2019-08-16 13:41:59,070]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_type_edit_settings: "GitDevOps03 / TC-Build {id=GitDevOps03_TcBuild, internal id=bt1}" build configuration settings were edited ("version before: 1, version after: 2") by "'anton' (Anton Nichaienko) {id=1}" with comment "runners of 'TC-Build' build configuration were updated"
[2019-08-16 13:43:40,675]   INFO - s.buildServer.ACTIVITIES.AUDIT - project_edit_settings: "GitDevOps03 {id=GitDevOps03, internal id=project1}" project settings were edited ("version before: 2, version after: 3") by "'anton' (Anton Nichaienko) {id=1}" with comment "Connection added"
[2019-08-16 13:44:02,800]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_type_edit_settings: "GitDevOps03 / TC-Build {id=GitDevOps03_TcBuild, internal id=bt1}" build configuration settings were edited ("version before: 2, version after: 3") by "'anton' (Anton Nichaienko) {id=1}" with comment "build features of 'TC-Build' build configuration were updated"
[2019-08-16 13:49:09,751]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_type_edit_settings: "GitDevOps03 / TC-Build {id=GitDevOps03_TcBuild, internal id=bt1}" build configuration settings were edited ("version before: 3, version after: 4") by "'anton' (Anton Nichaienko) {id=1}" with comment "runners of 'TC-Build' build configuration were updated"
[2019-08-16 13:49:30,283]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_comment: Build BUILD_PROMOTION{id=1} was commented by "'anton' (Anton Nichaienko) {id=1}" with comment "first build"
[2019-08-16 13:49:30,399]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_add_to_queue: Build BUILD_PROMOTION{id=1} was added to queue by "'anton' (Anton Nichaienko) {id=1}"
[2019-08-16 13:49:30,423]   INFO - tbrains.buildServer.ACTIVITIES - Build added to queue; Queued build {Build promotion {promotion id=1, configuration={id=GitDevOps03_TcBuild, internal id=bt1}, queued build id=1:0:1, queued, comment="first build"}, triggered by "'anton' (Anton Nichaienko) {id=1}" (##userId='1' type='user'), agent id=1}
[2019-08-16 13:49:30,698]   INFO - tbrains.buildServer.ACTIVITIES - Build started; GitDevOps03 / TC-Build {id=GitDevOps03_TcBuild, internal id=bt1} #1 {promotion id=1, agent="agent_first" {id=1}, triggered by "'anton' (Anton Nichaienko) {id=1}" (##userId='1' type='user'), comment="first build". Started 2019-08-16 13:49:30.626, running}
[2019-08-16 13:49:42,881]   INFO - tbrains.buildServer.ACTIVITIES - Finished build GitDevOps03 / TC-Build {id=GitDevOps03_TcBuild, internal id=bt1} #1 {promotion id=1, agent="agent_first" {id=1}, triggered by "'anton' (Anton Nichaienko) {id=1}" (##userId='1' type='user'), comment="first build". Started 2019-08-16 13:49:32.300, finished. Status "FAILURE 'Exit code 125 (Step: build docker image (Docker)) (new)'"}
